word,tfidf
весь,2.1817948665042812
куплет,1.1297440163529369
хотеть,1.115859663572839
сердце,1.0563061375120395
любить,1.0254872965870596
чами,0.9414104155530356
глаз,0.9351627097399775
осень,0.9340751082831347
припев,0.8822676300641029
остаться,0.8403934147672664
это,0.8339508413223208
идти,0.7757603751274808
ночь,0.7686226069938177
мочь,0.7671646522320357
знать,0.7475558947111252
свой,0.7396789595460813
окно,0.727564617589056
нужный,0.712355238694143
твой,0.7075925596831188
выход,0.6966061416358174
наш,0.6684794429358641
свет,0.664738315610861
троллейбус,0.6291850597186356
день,0.6206675197067208
сказать,0.611747928173028
время,0.6103663652689395
дверь,0.6018955724900794
песня,0.5878303784972128
искать,0.5792608589700139
год,0.5755000783220943
танцуй,0.5634830144539745
посмотреть,0.5617605327690669
пойти,0.5608908806801686
навсегда,0.5525636816834316
пожелать,0.5520058263979793
кровь,0.5517431019940593
ждать,0.5489825820518315
мама,0.5452438973722419
стук,0.5271834109976485
который,0.5147877761334291
жевать,0.5097286037990423
говорить,0.5039483951401524
звезда,0.4944078909872128
любовь,0.49311458800232444
небо,0.4923634274610695
простить,0.4884493488778691
кино,0.48286114706055694
стоить,0.4799009409247912
рука,0.471469689785478
ответ,0.4689548977662963
уйти,0.468881994507255
бить,0.462215058293049
орбита,0.45875574341913805
сахар,0.45875574341913805
отдать,0.45489328079051594
привет,0.4543307429313481
час,0.44967280727722114
солнце,0.4478236540111835
электрический,0.44531704690450363
чужой,0.44371325410060475
лес,0.4436144221820076
верить,0.4425316303756631
лишь,0.44117087743643296
попасть,0.43975196880624934
плыть,0.4353317743416013
слово,0.42965439504919734
поймать,0.42820582524833006
замереть,0.42662488677408844
остановиться,0.42662488677408844
жизнь,0.42503006933760223
скоро,0.4249142166608759
темный,0.41849931238252447
каждый,0.4181007548856715
гарри,0.41679638005735814
удача,0.4140043697984845
прочь,0.412168005708762
мария,0.40348720865285154
сад,0.40337568554600434
море,0.40218431624478723
вокруг,0.4002788413664333
человек,0.39937896946659684
вспоминать,0.3971600392246216
лето,0.39374691939155937
цвет,0.3928597422040826
спать,0.39038432383487576
дом,0.38811337182427674
господь,0.3878982499093415
утро,0.38781350252120517
найти,0.38419558406571724
вода,0.38350753586021574
жить,0.381816544535273
вечно,0.3804944979102051
плакать,0.37872725437329235
машина,0.378511575374914
против,0.3775347376778103
рыбак,0.3767142034312514
слышать,0.37426108885693743
киш,0.37181258788870214
дождь,0.3717824588114194
квартира,0.36805782165197387
черный,0.36570124841488333
крик,0.3622456194428709
помнить,0.36155259249172106
молния,0.35814836210119144
поздно,0.3566521937584298
берег,0.34939295952631344
семья,0.34909380306833315
домой,0.348456309338632
надежда,0.3480705455958244
сон,0.34551286093355055
сплин,0.3435290275626084
восток,0.34319185075561937
рукав,0.34009582079285944
увидеть,0.33809591559385477
видеть,0.3379963990294452
старый,0.33669146730614813
врать,0.3361171135781097
прийти,0.3349510843801794
хотя,0.33440115226377287
словно,0.3300774977101559
молчать,0.3292089784928349
рядом,0.32677381211071027
кончиться,0.32427103483482184
ромашка,0.3220658512162118
поле,0.32024238614099476
девочка,0.31888511811451514
большой,0.3187044548812473
лампочка,0.3185349798691
песок,0.31823501344968486
гореть,0.3172517197546386
правда,0.3169672462223281
тихо,0.3163893870056164
сила,0.31451761521326604
нога,0.31436884174093616
падать,0.3142675237141027
забывать,0.3125972850430186
парень,0.3114276789472718
упасть,0.3099850277902845
друг,0.30980901525657395
стремиться,0.309505636263812
дорога,0.30795161787667513
сеть,0.30639200562244556
ходить,0.30626409135664295
думать,0.3055395322245519
сойти,0.30323298818095723
должный,0.3019459588781955
счастливый,0.29242871312150626
ток,0.29152380460272975
земля,0.2909225789080309
лампа,0.2878041861108855
душа,0.2835885078739025
пытаться,0.2819108469946765
волна,0.28174150722698726
бежать,0.28174150722698726
меньше,0.28154308897022756
пока,0.2811980237510431
больной,0.28062902564450815
место,0.279695105588772
раздаться,0.2782021209158343
трава,0.2760029131989897
давно,0.2750451484303517
вряд,0.27367891189453114
голосить,0.27168421458215314
лицо,0.27168421458215314
гнать,0.27168421458215314
сзади,0.27168421458215314
мгла,0.27168421458215314
земфира,0.2706275120268829
деньга,0.2704334316083824
мчаться,0.2686112715758936
ручей,0.2686112715758936
пройти,0.26836522944647684
смотреть,0.26681836034813405
стена,0.26174453038395484
снег,0.26174453038395484
стать,0.25994739245152604
повезти,0.2565227149887606
сжигать,0.25482798389528
сгореть,0.25482798389528
выдержать,0.25482798389528
менять,0.25482798389528
мост,0.25482798389528
метель,0.2536629986068034
лужа,0.25355551770107215
провод,0.25231637632031134
вечер,0.251333571965045
узнать,0.25114280228750097
апрель,0.25009803756448734
огонь,0.2498625253012656
голова,0.24981805482277758
звать,0.24953887961109927
танцевать,0.24947997059097604
ухо,0.24905266707611678
слишком,0.24721850108896087
телефон,0.24674987587453598
тень,0.24446297322379065
казаться,0.24422467443893456
работа,0.24376961174508738
нету,0.24320327612611636
устать,0.24307853534306373
принести,0.24202541132760255
хэй,0.24202541132760255
спасать,0.2415493884121588
целовать,0.2415493884121588
веер,0.2415493884121588
плеер,0.2415493884121588
догонять,0.2415493884121588
дискотека,0.2415493884121588
мешать,0.23818339027244073
зло,0.23555832347740405
лесной,0.23555832347740405
несколько,0.23448204841119558
метро,0.23411834319141317
тяжело,0.23367595601667507
бошентумай,0.23272920204555544
ддт,0.2326354202635914
вместо,0.22688719374952143
тишина,0.22669659554901436
голос,0.22635841919906052
бредить,0.2253932057815898
ключ,0.22472482956234158
взгляд,0.2215262361258606
